,Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price,Price_d,used,Reviews_d,price_drop,Mileages_d,group,test,year,Manufacture,model_name
4104,2019 BMW X4 xDrive30i,"22,515 mi.",4.7,"(1,358 reviews)",BMW Certified,"$1,100 price drop","$48,843",48843.0,0.0,1358.0,1100.0,22515.0,756.0,"['2019', 'BMW', 'X4', 'xDrive30i']",2019,BMW,"['X4', 'xDrive30i']"
4105,2020 Acura TLX FWD,"30,629 mi.",4.7,(350 reviews),Used,$399 price drop,"$30,190",30190.0,1.0,350.0,399.0,30629.0,1082.0,"['2020', 'Acura', 'TLX', 'FWD']",2020,Acura,"['TLX', 'FWD']"
4106,2019 Volvo XC90 T6 Momentum,"42,175 mi.",4.3,(120 reviews),Volvo Certified,"$1,000 price drop","$44,900",44900.0,0.0,120.0,1000.0,42175.0,1071.0,"['2019', 'Volvo', 'XC90', 'T6', 'Momentum']",2019,Volvo,"['XC90', 'T6', 'Momentum']"
4107,2019 Ford Explorer XLT,"22,916 mi.",4.6,"(3,640 reviews)",Used,$500 price drop,"$41,000",41000.0,1.0,3640.0,500.0,22916.0,812.0,"['2019', 'Ford', 'Explorer', 'XLT']",2019,Ford,"['Explorer', 'XLT']"
4108,2016 Honda Odyssey Touring Elite,"16,948 mi.",4.4,"(2,223 reviews)",Used,"$1,000 price drop","$26,997",26997.0,1.0,2223.0,1000.0,16948.0,288.0,"['2016', 'Honda', 'Odyssey', 'Touring', 'Elite']",2016,Honda,"['Odyssey', 'Touring', 'Elite']"
4109,2021 Toyota RAV4 Limited,"86,081 mi.",4.8,"(1,210 reviews)",Used,$500 price drop,"$42,991",42991.0,1.0,1210.0,500.0,86081.0,1660.0,"['2021', 'Toyota', 'RAV4', 'Limited']",2021,Toyota,"['RAV4', 'Limited']"
4110,2019 Lamborghini Urus Base,"15,191 mi.",4.3,(5 reviews),Used,$323 price drop,"$259,000",259000.0,1.0,5.0,323.0,15191.0,896.0,"['2019', 'Lamborghini', 'Urus', 'Base']",2019,Lamborghini,"['Urus', 'Base']"
4111,2015 INFINITI QX80 Base,"17,784 mi.",4.6,(528 reviews),Used,$500 price drop,"$25,659",25659.0,1.0,528.0,500.0,17784.0,200.0,"['2015', 'INFINITI', 'QX80', 'Base']",2015,INFINITI,"['QX80', 'Base']"
4112,2019 Acura RDX Base,"112,817 mi.",4.1,(31 reviews),Used,$399 price drop,"$36,500",36500.0,1.0,31.0,399.0,112817.0,705.0,"['2019', 'Acura', 'RDX', 'Base']",2019,Acura,"['RDX', 'Base']"
4113,2020 RAM 1500 Laramie,"23,095 mi.",4.9,(2 reviews),Used,$500 price drop,"$46,000",46000.0,1.0,2.0,500.0,23095.0,1343.0,"['2020', 'RAM', '1500', 'Laramie']",2020,RAM,"['1500', 'Laramie']"
4114,2015 Lexus GS 350 Base,"59,709 mi.",4.8,"(1,879 reviews)",Used,$739 price drop,"$29,995",29995.0,1.0,1879.0,739.0,59709.0,209.0,"['2015', 'Lexus', 'GS', '350', 'Base']",2015,Lexus,"['GS', '350', 'Base']"
